sample_id,cell_id,cell_name,nwb_file_name
20180921_sample_2,XMZGY-2,sub-mouse-XMZGY_ses-20180921-sample-2_slice-20180921-slice-2_cell-20180921-sample-2_icephys,sub-mouse-XMZGY_ses-20180921-sample-2_slice-20180921-slice-2_cell-20180921-sample-2_icephys.nwb
20180921_sample_3,XMZGY-3,sub-mouse-XMZGY_ses-20180921-sample-3_slice-20180921-slice-3_cell-20180921-sample-3_icephys,sub-mouse-XMZGY_ses-20180921-sample-3_slice-20180921-slice-3_cell-20180921-sample-3_icephys.nwb
20180925_sample_9,DMTAH-9,sub-mouse-DMTAH_ses-20180925-sample-9_slice-20180925-slice-9_cell-20180925-sample-9_icephys,sub-mouse-DMTAH_ses-20180925-sample-9_slice-20180925-slice-9_cell-20180925-sample-9_icephys.nwb
20180926_sample_1,NPNLS-1,sub-mouse-NPNLS_ses-20180926-sample-1_slice-20180926-slice-1_cell-20180926-sample-1_icephys,sub-mouse-NPNLS_ses-20180926-sample-1_slice-20180926-slice-1_cell-20180926-sample-1_icephys.nwb
20180926_sample_3,NPNLS-3,sub-mouse-NPNLS_ses-20180926-sample-3_slice-20180926-slice-3_cell-20180926-sample-3_icephys,sub-mouse-NPNLS_ses-20180926-sample-3_slice-20180926-slice-3_cell-20180926-sample-3_icephys.nwb
20180926_sample_4,NPNLS-4,sub-mouse-NPNLS_ses-20180926-sample-4_slice-20180926-slice-4_cell-20180926-sample-4_icephys,sub-mouse-NPNLS_ses-20180926-sample-4_slice-20180926-slice-4_cell-20180926-sample-4_icephys.nwb
20180926_sample_7,NPNLS-7,sub-mouse-NPNLS_ses-20180926-sample-7_slice-20180926-slice-7_cell-20180926-sample-7_icephys,sub-mouse-NPNLS_ses-20180926-sample-7_slice-20180926-slice-7_cell-20180926-sample-7_icephys.nwb
20180926_sample_9,NPNLS-9,sub-mouse-NPNLS_ses-20180926-sample-9_slice-20180926-slice-9_cell-20180926-sample-9_icephys,sub-mouse-NPNLS_ses-20180926-sample-9_slice-20180926-slice-9_cell-20180926-sample-9_icephys.nwb
20180927_sample_1,WOBBW-1,sub-mouse-WOBBW_ses-20180927-sample-1_slice-20180927-slice-1_cell-20180927-sample-1_icephys,sub-mouse-WOBBW_ses-20180927-sample-1_slice-20180927-slice-1_cell-20180927-sample-1_icephys.nwb
20180927_sample_10,WOBBW-10,sub-mouse-WOBBW_ses-20180927-sample-10_slice-20180927-slice-10_cell-20180927-sample-10_icephys,sub-mouse-WOBBW_ses-20180927-sample-10_slice-20180927-slice-10_cell-20180927-sample-10_icephys.nwb
20180927_sample_2,WOBBW-2,sub-mouse-WOBBW_ses-20180927-sample-2_slice-20180927-slice-2_cell-20180927-sample-2_icephys,sub-mouse-WOBBW_ses-20180927-sample-2_slice-20180927-slice-2_cell-20180927-sample-2_icephys.nwb
20180927_sample_3,WOBBW-3,sub-mouse-WOBBW_ses-20180927-sample-3_slice-20180927-slice-3_cell-20180927-sample-3_icephys,sub-mouse-WOBBW_ses-20180927-sample-3_slice-20180927-slice-3_cell-20180927-sample-3_icephys.nwb
